Nº	ROTA	CLIENTE	FORNECEDOR	OPERAÇÃO	VALOR	HR FRANQ	KM FRANQ	HR EXTRA	KM EXTRA	PEDÁGIO	STATUS		DATA INICIAL	HORA INICIAL	REF.	ROTA	VIATURA	VEICULO ESCOLTADO	DATA FINAL	HORA FINAL		INICIAL	FINAL	TOTAL		INICIAL	FINAL	TOTAL		KM 	VALOR	TOTAL		HORA	VALOR	TOTAL		ACIONAMENTO	PEDAGIO	REVISÃO	VALOR TOTAL		Nº	ROTA	CLIENTE	FORNECEDOR	EQUIPE	VALOR	HR FRANQ	KM FRANQ	HR EXTRA	KM EXTRA	PEDAGIO	SITUAÇÃO												  	FINAL	TOTAL		INICIAL	FINAL	TOTAL		KM 	VALOR	TOTAL		HORA	VALOR	 TOTAL 		ESCOLTA	 PEDÁGIO 	TOTAL
4311	MANAUS X MANAUS	CEVA	USE	CARACTERIZADA	 R$2.398,00 	03:00:00	100	 R$275,00 	 R$11,00 	À PARTE	RECUSADA		01/04/2026	10:00:00		MANAUS X MANAUS	TWY5J21	JXJ0E14	01/04/2026	13:00:00				0		10:00:00	13:00:00	03:00:00		0	 R$11,00 	 R$-   		00:00:00	 R$275,00 	 R$-   		 R$2.398,00 	 R$ -   	 R$ -   	 R$ -   		4311	MANAUS X MANAUS	CEVA	USE	CARACTERIZADA	 R$ 650,00 	3:00:00	100	 R$150,00 	 R$7,00 	À PARTE	RECUSADA		01/04/2026	10:00:00		SP	MANAUS X MANAUS	TWY5J21	JXJ0E14	01/04/2026	13:00:00		0	0	0		10:00:00	13:00:00	03:00:00		0	 R$7,00 	 R$-   		00:00:00	 R$150,00 	 R$-   		 R$650,00 	 R$ -   	 R$-   
4312	MANAUS X MANAUS	CEVA	USE	CARACTERIZADA	 R$2.398,00 	03:00:00	100	 R$275,00 	 R$11,00 	À PARTE	RECUSADA		01/04/2026	10:00:00		MANAUS X MANAUS	TCP9C29	JXJ0E14	01/04/2026	13:00:00				0		10:00:00	13:00:00	03:00:00		0	 R$11,00 	 R$-   		00:00:00	 R$275,00 	 R$-   		 R$2.398,00 	 R$ -   	 R$ -   	 R$ -   		4312	MANAUS X MANAUS	CEVA	USE	CARACTERIZADA	 R$ 650,00 	3:00:00	100	 R$150,00 	 R$7,00 	À PARTE	RECUSADA		01/04/2026	10:00:00		SP	MANAUS X MANAUS	TCP9C29	JXJ0E14	01/04/2026	13:00:00		0	0	0		10:00:00	13:00:00	03:00:00		0	 R$7,00 	 R$-   		00:00:00	 R$150,00 	 R$-   		 R$650,00 	 R$ -   	 R$-   
4313	BELO HORIZONTE X BELO HORIZONTE	IBL	CENTURIÃO	CARACTERIZADA	 R$930,00 	03:00:00	100	 R$168,51 	 R$7,30 	À PARTE	CONCLUIDO		01/04/2026	10:00:00		BELO HORIZONTE X BELO HORIZONTE	UAB8F46	HIM0228	01/04/2026	14:19:00		12.582	12.604	22		10:00:00	14:19:00	04:19:00		0	 R$7,30 	 R$-   		01:19:00	 R$168,51 	 R$221,87 		 R$930,00 	 R$ -   	 R$ 1.151,87 	 R$ 1.151,87 		4313	BELO HORIZONTE X BELO HORIZONTE	IBL	CENTURIÃO	CARACTERIZADA	 R$ 500,00 	03:00	100	 R$118,00 	 R$5,00 	À PARTE	CONCLUIDO		01/04/2026	10:00:00		SP	BELO HORIZONTE X BELO HORIZONTE	UAB8F46	HIM0228	01/04/2026	14:19:00		12.582	12.604	22		10:00:00	14:19:00	04:19:00		0	 R$5,00 	 R$-   		01:19:00	 R$118,00 	 R$155,37 		 R$500,00 	 R$ -   	 R$655,37 
4314	BELO HORIZONTE X BELO HORIZONTE	IBL	CENTURIÃO	CARACTERIZADA	 R$930,00 	03:00:00	100	 R$168,51 	 R$7,30 	À PARTE	CANCELADA		01/04/2026	13:00:00		BELO HORIZONTE X BELO HORIZONTE	UAB8F46	HIM0228	01/04/2026	15:10:00				0		13:00:00	15:10:00	02:10:00		0	 R$7,30 	 R$-   		00:00:00	 R$168,51 	 R$-   		 R$930,00 	 R$ -   	 R$ 930,00 	 R$ 930,00 		4314	BELO HORIZONTE X BELO HORIZONTE	IBL	CENTURIÃO	CARACTERIZADA	 R$ 500,00 	03:00	100	 R$118,00 	 R$5,00 	À PARTE	CANCELADA		01/04/2026	13:00:00		SP	BELO HORIZONTE X BELO HORIZONTE	UAB8F46	HIM0228	01/04/2026	15:10:00		0	0	0		13:00:00	15:10:00	02:10:00		0	 R$5,00 	 R$-   		00:00:00	 R$118,00 	 R$-   		 R$500,00 	 R$ -   	 R$500,00 
4315	SÃO PAULO (1 ARMADO)	CESARI	ATIVA	PRONTA RESPOSTA 	 R$699,84 	03:00:00	50	 R$163,30 	 R$7,00 	À PARTE	CONCLUIDO		01/04/2026	09:06:00	SOLICITAÇÃO VIA GRUPO SOMENTE	SÃO PAULO (1 ARMADO)	TJE1D93	FZJ9G81	01/04/2026	12:20:00		62.054	62.147	93		09:06:00	12:20:00	03:14:00		43	 R$7,00 	 R$301,00 		00:14:00	 R$163,30 	 R$38,10 		 R$699,84 	 R$ -   	 R$ 1.038,94 	 R$ 1.038,94 		4315	SÃO PAULO (1 ARMADO)	CESARI	ATIVA	PRONTA RESPOSTA 	 R$ 430,00 	03:00	50	 R$70,00 	 R$1,50 	À PARTE	CONCLUIDO		01/04/2026	09:06:00		SP	SÃO PAULO (1 ARMADO)	TJE1D93	FZJ9G81	01/04/2026	12:20:00		62.054	62.147	93		09:06:00	12:20:00	03:14:00		43	 R$1,50 	 R$64,50 		00:14:00	 R$70,00 	 R$16,33 		 R$430,00 	 R$ -   	 R$510,83 
4316	SÃO LUIS DO MARANHÃO X SÃO LUIS DO MARANHÃO (2 ARMADOS)	IBL	TM SEG	PRONTA RESPOSTA	 R$1.057,00 	03:00:00	100	 R$181,33 	 R$7,30 	À PARTE	CONCLUIDO		01/04/2026	10:32:00		SÃO LUIS DO MARANHÃO X SÃO LUIS DO MARANHÃO (2 ARMADOS)	PSC 2003	NXM1D82	01/04/2026	11:27:00		160.223	160.273	50		10:32:00	11:27:00	00:55:00		0	 R$7,30 	 R$-   		00:00:00	 R$181,33 	 R$-   		 R$1.057,00 	 R$ -   	 R$ 1.057,00 	 R$ 1.057,00 		4316	SÃO LUIS DO MARANHÃO X SÃO LUIS DO MARANHÃO (2 ARMADOS)	IBL	TM SEG	PRONTA RESPOSTA	 R$ 420,00 	3:00:00	50	 R$70,00 	 R$1,20 	À PARTE	CONCLUIDO		01/04/2026	10:32:00		MA	SÃO LUIS DO MARANHÃO X SÃO LUIS DO MARANHÃO (2 ARMADOS)	PSC 2003	NXM1D82	01/04/2026	11:27:00		160.223	160.273	50		10:32:00	11:27:00	00:55:00		0	 R$1,20 	 R$-   		00:00:00	 R$70,00 	 R$-   		 R$420,00 	 R$ -   	 R$420,00 
4317	GUARUJA X EXTREMA	CEVA	TORRES	CARACTERIZADA	 R$660,00 	03:00:00	100	 R$160,00 	 R$6,60 	À PARTE	CONCLUIDO		01/04/2026	11:20:00		GUARUJA X EXTREMA	UEB7H08	MDT4F06	01/04/2026	20:41:00		1.050	1.298	248		11:20:00	20:41:00	09:21:00		148	 R$6,60 	 R$976,80 		06:21:00	 R$160,00 	 R$1.016,00 		 R$660,00 	 R$ 24,30 	 R$ 2.677,10 	 R$ 2.677,10 		4317	GUARUJA X EXTREMA	CEVA	TORRES	CARACTERIZADA	 R$ 480,15 	3:00:00	100	 R$106,70 	 R$4,80 	À PARTE	CONCLUIDO		01/04/2026	11:20:00		SP	GUARUJA X EXTREMA	UEB7H08	MDT4F06	01/04/2026	20:41:00		1.050	1.298	248		11:20:00	20:41:00	09:21:00		148	 R$4,80 	 R$710,40 		06:21:00	 R$106,70 	 R$677,55 		 R$480,15 	 R$ 24,30 	 R$1.892,40 
4318	CUBATÃO X GUARUJA (1 armado) 	CESARI	TM SEG	PRONTA RESPOSTA 	 R$699,84 	03:00:00	50	 R$163,30 	 R$7,00 	À PARTE	CONCLUIDO		01/04/2026	16:00:00	REF. PBJ092-2026 - Traxys	CUBATÃO X GUARUJA (1 armado) 	 DCU1E99	QRW-1C78	01/04/2026	16:58:00		140.122	140.216	94		16:00:00	16:58:00	00:58:00		44	 R$7,00 	 R$308,00 		00:00:00	 R$163,30 	 R$-   		 R$699,84 	 R$ -   	 R$ 1.007,84 	 R$ 1.007,84 		4318	CUBATÃO X GUARUJA (1 armado) 	CESARI	TM SEG	PRONTA RESPOSTA 	 R$ 210,00 	3:00:00	50	 R$35,00 	 R$1,20 	À PARTE	CONCLUIDO		01/04/2026	16:00:00		SP	CUBATÃO X GUARUJA (1 armado) 	 DCU1E99	QRW-1C78	01/04/2026	16:58:00		140.122	140.216	94		16:00:00	16:58:00	00:58:00		44	 R$1,20 	 R$52,80 		00:00:00	 R$35,00 	 R$-   		 R$210,00 	 R$ -   	 R$262,80 
4319	URBANO BA	IBL	HONRA	CARACTERIZADA	 R$1.057,00 	03:00:00	100	 R$181,33 	 R$7,30 	À PARTE	CONCLUIDO		01/04/2026	14:00:00		URBANO BA	TML 5D11	RCX9J23	01/04/2026	16:37:00		7.787	7.804	17		14:00:00	16:37:00	02:37:00		0	 R$7,30 	 R$-   		00:00:00	 R$181,33 	 R$-   		 R$1.057,00 	 R$ 7,70 	 R$ 1.064,70 	 R$ 1.064,70 		4319	URBANO BA	IBL	HONRA	CARACTERIZADA	 R$ 450,00 	3:00:00	100	 R$100,00 	 R$4,50 	À PARTE	CONCLUIDO		01/04/2026	14:00:00		BA	URBANO BA	TML 5D11	RCX9J23	01/04/2026	16:37:00		7.787	7.804	17		14:00:00	16:37:00	02:37:00		0	 R$4,50 	 R$-   		00:00:00	 R$100,00 	 R$-   		 R$450,00 	 R$ 7,70 	 R$457,70 
4320	JACAREI X CAJAMAR	AMALOG	TORRES	CARACTERIZADA	 R$648,00 	03:00:00	100	 R$129,60 	 R$7,30 	À PARTE	CONCLUIDO		01/04/2026	13:00:00		JACAREI X CAJAMAR	UER7D08	EFO5876	01/04/2026	16:22:00		1.896	2.015	119		13:00:00	16:22:00	03:22:00		19	 R$7,30 	 R$138,70 		00:22:00	 R$129,60 	 R$47,52 		 R$648,00 	 R$ 30,80 	 R$ 865,02 	 R$ 865,02 		4320	JACAREI X CAJAMAR	AMALOG	TORRES	CARACTERIZADA	 R$ 480,15 	3:00:00	100	 R$106,70 	 R$4,80 	À PARTE	CONCLUIDO		01/04/2026	13:00:00		SP	JACAREI X CAJAMAR	UER7D08	EFO5876	01/04/2026	16:22:00		1.896	2.015	119		13:00:00	16:22:00	03:22:00		19	 R$4,80 	 R$91,20 		00:22:00	 R$106,70 	 R$39,12 		 R$480,15 	 R$ 30,80 	 R$641,27 
