Nº	ROTA	CLIENTE	FORNECEDOR	OPERAÇÃO	VALOR	HR FRANQ	KM FRANQ	HR EXTRA	KM EXTRA	PEDÁGIO	STATUS		DATA INICIAL	HORA INICIAL	REF.	ROTA	VIATURA	VEICULO ESCOLTADO	DATA FINAL	HORA FINAL		INICIAL	FINAL	TOTAL		INICIAL	FINAL	TOTAL		KM 	VALOR	TOTAL		HORA	VALOR	TOTAL		ACIONAMENTO	PEDAGIO	REVISÃO	VALOR TOTAL		Nº	ROTA	CLIENTE	FORNECEDOR	EQUIPE	VALOR	HR FRANQ	KM FRANQ	HR EXTRA	KM EXTRA	PEDAGIO	SITUAÇÃO												  	FINAL	TOTAL		INICIAL	FINAL	TOTAL		KM 	VALOR	TOTAL		HORA	VALOR	 TOTAL 		ESCOLTA	 PEDÁGIO 	TOTAL
4321	TERESINA X TERSINA (2 ARMADOS)	IBL	TM SEG	CARACTERIZADA	 R$1.057,00 	03:00:00	100	 R$181,33 	 R$7,30 	À PARTE	CONCLUIDO		01/04/2026	13:00:00		TERESINA X TERSINA (2 ARMADOS)	QRN4493	RUX9G71	01/04/2026	15:32:00		77.567	77.618	51		13:00:00	15:32:00	02:32:00		0	 R$7,30 	 R$-   		00:00:00	 R$181,33 	 R$-   		 R$1.057,00 	 R$ -   	 R$ 1.057,00 	 R$ 1.057,00 		4321	TERESINA X TERSINA (2 ARMADOS)	IBL	TM SEG	CARACTERIZADA	 R$ 420,00 	3:00:00	50	 R$70,00 	 R$1,20 	À PARTE	CONCLUIDO		01/04/2026	13:00:00		PI	TERESINA X TERSINA (2 ARMADOS)	QRN4493	RUX9G71	01/04/2026	15:32:00		77.567	77.618	51		13:00:00	15:32:00	02:32:00		1	 R$1,20 	 R$1,20 		00:00:00	 R$70,00 	 R$-   		 R$420,00 	 R$ -   	 R$421,20 
4322	ITAJAÍ SC X JOINVILLE SC 	LOGGO	DELTA LUX	CARACTERIZADA	 R$928,53 	03:00:00	100	 R$168,51 	 R$7,30 	À PARTE	CANCELADA		01/04/2026	15:00:00		CANCELADA POR HYGO	OKG4C77		01/04/2026	18:00:00				0		15:00:00	18:00:00	03:00:00		0	 R$7,30 	 R$-   		00:00:00	 R$168,51 	 R$-   		 R$928,53 	 R$ -   	 R$ 928,53 	 R$ 928,53 		4322	ITAJAÍ SC X JOINVILLE SC 	LOGGO	DELTA LUX	CARACTERIZADA	 R$ 450,00 	3:00:00	100	 R$90,00 	 R$4,50 	À PARTE	CANCELADA		01/04/2026	15:00:00		SC	CANCELADA POR HYGO	OKG4C77	00:00	01/04/2026	18:00:00		0	0	0		15:00:00	18:00:00	03:00:00		0	 R$4,50 	 R$-   		00:00:00	 R$90,00 	 R$-   		 R$450,00 	 R$ -   	 R$450,00 
4323	JOÃO PESSOA/PB (02 ARMADOS)	IBL	TM SEG	PRONTA RESPOSTA	 R$1.057,00 	03:00:00	100	 R$181,33 	 R$7,30 	À PARTE	CONCLUIDO		01/04/2026	15:30:00		JOÃO PESSOA/PB (02 ARMADOS)	QFQ9585	QQK6A46	01/04/2026	20:17:00		138.860	138.928	68		15:30:00	20:17:00	04:47:00		0	 R$7,30 	 R$-   		01:47:00	 R$181,33 	 R$323,37 		 R$1.057,00 	 R$ -   	 R$ 1.380,37 	 R$ 1.380,37 		4323	JOÃO PESSOA/PB (02 ARMADOS)	IBL	TM SEG	PRONTA RESPOSTA	 R$ 420,00 	3:00:00	50	 R$70,00 	 R$1,20 	À PARTE	CONCLUIDO		01/04/2026	15:30:00		PB	JOÃO PESSOA/PB (02 ARMADOS)	QFQ9585	QQK6A46	01/04/2026	20:17:00		138.860	138.928	68		15:30:00	20:17:00	04:47:00		18	 R$1,20 	 R$21,60 		01:47:00	 R$70,00 	 R$124,83 		 R$420,00 	 R$ -   	 R$566,43 
4324	DIADEMA X SÃO JOSÉ DOS PINHAIS	CEVA	DOMAIN	CARACTERIZADA	 R$2.825,56 	10:00:00	428	 R$160,00 	 R$6,60 	À PARTE	CONCLUIDO		01/04/2026	14:00:00		DIADEMA X SÃO JOSÉ DOS PINHAIS	ESS9D84	AUX5I49	02/04/2026	08:59:00		39.582	40.012	430		14:00:00	08:59:00	18:59:00		2	 R$6,60 	 R$13,20 		08:59:00	 R$160,00 	 R$1.437,33 		 R$2.825,56 	 R$ 25,80 	 R$ 4.301,89 	 R$ 4.301,89 		4324	DIADEMA X SÃO JOSÉ DOS PINHAIS	CEVA	DOMAIN	CARACTERIZADA	 R$ 1.989,00 	11:00	442	 R$95,00 	 R$4,50 	À PARTE	CONCLUIDO		01/04/2026	14:00:00	1077	SP	DIADEMA X SÃO JOSÉ DOS PINHAIS	ESS9D84	AUX5I49	02/04/2026	08:59:00		39.582	40.012	430		14:00:00	08:59:00	18:59:00		0	 R$4,50 	 R$-   		07:59:00	 R$95,00 	 R$758,42 		 R$1.989,00 	 R$ 25,80 	 R$2.773,22 
4325	GUARUJA X PIRUTUBA	CEVA	TORRES	CARACTERIZADA	 R$660,00 	03:00:00	100	 R$160,00 	 R$6,60 	À PARTE	CONCLUIDO		01/04/2026	23:00:00		GUARUJA X PIRUTUBA	UEB7H08	END4J30	02/04/2026	03:21:00		1.498	1.632	134		23:00:00	03:21:00	04:21:00		34	 R$6,60 	 R$224,40 		01:21:00	 R$160,00 	 R$216,00 		 R$660,00 	 R$ 18,30 	 R$ 1.118,70 	 R$ 1.118,70 		4325	GUARUJA X PIRUTUBA	CEVA	TORRES	CARACTERIZADA	 R$ 480,15 	3:00:00	100	 R$106,70 	 R$4,80 	À PARTE	CONCLUIDO		01/04/2026	23:00:00	1078	SP	GUARUJA X PIRUTUBA	UEB7H08	END4J30	02/04/2026	03:21:00		1.498	1.632	134		23:00:00	03:21:00	04:21:00		34	 R$4,80 	 R$163,20 		01:21:00	 R$106,70 	 R$144,05 		 R$480,15 	 R$ 18,30 	 R$805,70 
4326	PIRAPORA DO BOM JESUS  X CAJAMAR/SP	CESARI	COMANDO G8	CARACTERIZADA	 R$699,84 	03:00:00	100	 R$163,30 	 R$7,00 	À PARTE	CONCLUIDO		02/04/2026	07:00:00	PBJ101-2026 - PIONEIRO	PIRAPORA DO BOM JESUS  X CAJAMAR/SP	TEE3G94	TKL3E71	02/04/2026	15:01:00		97.280	97.299	19		07:00:00	15:01:00	08:01:00		0	 R$7,00 	 R$-   		05:01:00	 R$163,30 	 R$819,22 		 R$699,84 	 R$ -   	 R$ 1.519,06 	 R$ 1.519,06 		4326	PIRAPORA DO BOM JESUS  X CAJAMAR/SP	CESARI	COMANDO G8	CARACTERIZADA	 R$ 400,00 	4:00:00	110	 R$90,00 	 R$4,00 	À PARTE	CONCLUIDO		02/04/2026	07:00:00		SP	PIRAPORA DO BOM JESUS  X CAJAMAR/SP	TEE3G94	TKL3E71	02/04/2026	15:01:00		97.280	97.299	19		07:00:00	15:01:00	08:01:00		0	 R$4,00 	 R$-   		04:01:00	 R$90,00 	 R$361,50 		 R$400,00 	 R$ -   	 R$761,50 
4327	PIRAPORA DO BOM JESUS X GUARUJÁ SP	CESARI	DOMAIN	CARACTERIZADA	 R$1.049,76 	03:00:00	150	 R$163,30 	 R$7,00 	À PARTE	CONCLUIDO		02/04/2026	08:00:00	PBJ103-2026 - BATERIAS MOURA	PIRAPORA DO BOM JESUS X GUARUJÁ SP	UDE1E99	TIO4D31	02/04/2026	18:56:00		10.785	10.937	152		08:00:00	18:56:00	10:56:00		2	 R$7,00 	 R$14,00 		07:56:00	 R$163,30 	 R$1.295,51 		 R$1.049,76 	 R$ 51,90 	 R$ 2.411,17 	 R$ 2.411,17 		4327	PIRAPORA DO BOM JESUS X GUARUJÁ SP	CESARI	DOMAIN	CARACTERIZADA	 R$ 450,00 	4:00:00	110	 R$95,00 	 R$4,50 	À PARTE	CONCLUIDO		02/04/2026	08:00:00		SP	PIRAPORA DO BOM JESUS X GUARUJÁ SP	UDE1E99	TIO4D31	02/04/2026	18:56:00		10.785	10.937	152		08:00:00	18:56:00	10:56:00		42	 R$4,50 	 R$189,00 		06:56:00	 R$95,00 	 R$658,67 		 R$450,00 	 R$ 51,90 	 R$1.349,57 
4328	PIRAPORA DO BOM JESUS X GUARUJÁ SP	CESARI	DOMAIN	CARACTERIZADA	 R$1.049,76 	03:00:00	150	 R$163,30 	 R$7,00 	À PARTE	CONCLUIDO		02/04/2026	08:00:00	PBJ103-2026 - BATERIAS MOURA	PIRAPORA DO BOM JESUS X GUARUJÁ SP	UDD1C04	TIO4D31	02/04/2026	18:56:00		18.467	18.617	150		08:00:00	18:56:00	10:56:00		0	 R$7,00 	 R$-   		07:56:00	 R$163,30 	 R$1.295,51 		 R$1.049,76 	 R$ 51,90 	 R$ 2.397,17 	 R$ 2.397,17 		4328	PIRAPORA DO BOM JESUS X GUARUJÁ SP	CESARI	DOMAIN	CARACTERIZADA	 R$ 450,00 	4:00:00	110	 R$95,00 	 R$4,50 	À PARTE	CONCLUIDO		02/04/2026	08:00:00		SP	PIRAPORA DO BOM JESUS X GUARUJÁ SP	UDD1C04	TIO4D31	02/04/2026	18:56:00		18.467	18.617	150		08:00:00	18:56:00	10:56:00		40	 R$4,50 	 R$180,00 		06:56:00	 R$95,00 	 R$658,67 		 R$450,00 	 R$ 51,90 	 R$1.340,57 
4329	PIRAPORA DO BOM JESUS  X  SUZANO/SP	CESARI	DOMAIN	CARACTERIZADA	 R$769,82 	03:00:00	110	 R$163,30 	 R$7,00 	À PARTE	RECUSADA		02/04/2026	08:00:00	REF. PBJ104-2026 - DIFIL	PIRAPORA DO BOM JESUS  X  SUZANO/SP		FHO1G91	02/04/2026	11:00:00				0		08:00:00	11:00:00	03:00:00		0	 R$7,00 	 R$-   		00:00:00	 R$163,30 	 R$-   		 R$769,82 	 R$ 51,90 	 R$ -   	 R$ -   		4329	PIRAPORA DO BOM JESUS  X  SUZANO/SP	CESARI	DOMAIN	CARACTERIZADA	 R$ 450,00 	4:00:00	110	 R$95,00 	 R$4,50 	À PARTE	RECUSADA		02/04/2026	08:00:00		SP	PIRAPORA DO BOM JESUS  X  SUZANO/SP	00:00:00	FHO1G91	02/04/2026	11:00:00		0	0	0		08:00:00	11:00:00	03:00:00		0	 R$4,50 	 R$-   		00:00:00	 R$95,00 	 R$-   		 R$450,00 	 R$ 51,90 	 R$-   
4330	ITAJAÍ SC X JOINVILLE SC 	LOGGO	DELTA LUX	CARACTERIZADA	 R$928,53 	03:00:00	100	 R$168,51 	 R$7,30 	À PARTE	CONCLUIDO		02/04/2026	09:00:00		ITAJAÍ SC X JOINVILLE SC 	OKG4C77	QII6D62	02/04/2026	11:56:00		174.907	174.936	29		09:00:00	11:56:00	02:56:00		0	 R$7,30 	 R$-   		00:00:00	 R$168,51 	 R$-   		 R$928,53 	 R$ 5,20 	 R$ 933,73 	 R$ 933,73 		4330	ITAJAÍ SC X JOINVILLE SC 	LOGGO	DELTA LUX	CARACTERIZADA	 R$ 450,00 	3:00:00	100	 R$90,00 	 R$4,50 	À PARTE	CONCLUIDO		02/04/2026	09:00:00		SC	ITAJAÍ SC X JOINVILLE SC 	OKG4C77	QII6D62	02/04/2026	11:56:00		174.907	174.936	29		09:00:00	11:56:00	02:56:00		0	 R$4,50 	 R$-   		00:00:00	 R$90,00 	 R$-   		 R$450,00 	 R$ 5,20 	 R$455,20 
4331	NOVO RECREIO, BALSAS/ MA ( 1 ARMADO)	LUFT	ATIVA	PRONTA RESPOSTA	 R$630,00 	03:00:00	50	 R$120,00 	 R$2,90 	À PARTE	CONCLUIDO		01/04/2026	19:39:00		NOVO RECREIO, BALSAS/ MA ( 1 ARMADO)	QKF6857	EOF1G27	02/04/2026	07:59:00		188.895	189.244	349		19:39:00	07:59:00	12:20:00		299	 R$2,90 	 R$867,10 		09:20:00	 R$120,00 	 R$1.120,00 		 R$630,00 	 R$ -   	 R$ 2.617,10 	 R$ 2.617,10 		4331	NOVO RECREIO, BALSAS/ MA ( 1 ARMADO)	LUFT	ATIVA	PRONTA RESPOSTA	 R$ 430,00 	3:00:00	50	 R$70,00 	 R$1,50 	À PARTE	CONCLUIDO		01/04/2026	19:39:00		RS	NOVO RECREIO, BALSAS/ MA ( 1 ARMADO)	QKF6857	EOF1G27	02/04/2026	07:59:00		188.895	189.244	349		19:39:00	07:59:00	12:20:00		299	 R$1,50 	 R$448,50 		09:20:00	 R$70,00 	 R$653,33 		 R$430,00 	 R$ -   	 R$1.531,83 
4332	IBL BRASILIA (2 ARMADOS)	IBL	ATIVA	PRONTA RESPOSTA	 R$995,00 	03:00:00	100	 R$181,33 	 R$7,30 	À PARTE	CONCLUIDO		01/04/2026	21:56:00		IBL BRASILIA (2 ARMADOS)	REJ9A41	LOCAL	02/04/2026	08:24:00		133.123	133.153	30		21:56:00	08:24:00	10:28:00		0	 R$7,30 	 R$-   		07:28:00	 R$181,33 	 R$1.353,93 		 R$995,00 	 R$ -   	 R$ 2.348,93 	 R$ 2.348,93 		4332	IBL BRASILIA (2 ARMADOS)	IBL	ATIVA	PRONTA RESPOSTA	 R$ 860,00 	3:00:00	50	 R$140,00 	 R$1,50 	À PARTE	CONCLUIDO		01/04/2026	21:56:00		DF	IBL BRASILIA (2 ARMADOS)	REJ9A41	LOCAL	02/04/2026	08:24:00		133.123	133.153	30		21:56:00	08:24:00	10:28:00		0	 R$1,50 	 R$-   		07:28:00	 R$140,00 	 R$1.045,33 		 R$860,00 	 R$ -   	 R$1.905,33 
4333	IBL BRASILIA (2 ARMADOS)	IBL	ATIVA	PRONTA RESPOSTA	 R$995,00 	03:00:00	100	 R$181,33 	 R$7,30 	À PARTE	CONCLUIDO		01/04/2026	21:56:00		IBL BRASILIA (2 ARMADOS)	REJ0F31	LOCAL	02/04/2026	08:24:00		46.504	46.510	6		21:56:00	08:24:00	10:28:00		0	 R$7,30 	 R$-   		07:28:00	 R$181,33 	 R$1.353,93 		 R$995,00 	 R$ -   	 R$ 2.348,93 	 R$ 2.348,93 		4333	IBL BRASILIA (2 ARMADOS)	IBL	ATIVA	PRONTA RESPOSTA	 R$ 860,00 	3:00:00	50	 R$140,00 	 R$1,50 	À PARTE	CONCLUIDO		01/04/2026	21:56:00		DF	IBL BRASILIA (2 ARMADOS)	REJ0F31	LOCAL	02/04/2026	08:24:00		46.504	46.510	6		21:56:00	08:24:00	10:28:00		0	 R$1,50 	 R$-   		07:28:00	 R$140,00 	 R$1.045,33 		 R$860,00 	 R$ -   	 R$1.905,33 
4334	JUNDIAI/SP - x 200 km EMBU DAS ARTES/SP	CEVA	COMANDO G8	CARACTERIZADA	 R$660,00 	03:00:00	100	 R$160,00 	 R$6,60 	À PARTE	CONCLUIDO		02/04/2026	14:13:00		JUNDIAI/SP - x 200 km EMBU DAS ARTES/SP	 TEE3H24	EWL3C69	02/04/2026	16:45:00		108.030	108.110	80		14:13:00	16:45:00	02:32:00		0	 R$6,60 	 R$-   		00:00:00	 R$160,00 	 R$-   		 R$660,00 	 R$ 38,00 	 R$ 698,00 	 R$ 698,00 		4334	JUNDIAI/SP - x 200 km EMBU DAS ARTES/SP	CEVA	COMANDO G8	CARACTERIZADA	 R$ 400,00 	4:00:00	110	 R$90,00 	 R$4,00 	À PARTE	CONCLUIDO		02/04/2026	14:13:00	1084	SP	JUNDIAI/SP - x 200 km EMBU DAS ARTES/SP	 TEE3H24	EWL3C69	02/04/2026	16:45:00		108.030	108.110	80		14:13:00	16:45:00	02:32:00		0	 R$4,00 	 R$-   		00:00:00	 R$90,00 	 R$-   		 R$400,00 	 R$ 38,00 	 R$438,00 
4335	JUNDIAI/SP - x 200 km EMBU DAS ARTES/SP	CEVA	COMANDO G8	CARACTERIZADA	 R$660,00 	03:00:00	100	 R$160,00 	 R$6,60 	À PARTE	CONCLUIDO		02/04/2026	12:41:00		JUNDIAI/SP - x 200 km EMBU DAS ARTES/SP	 TEE3H07	QQG8G60	02/04/2026	15:08:00		110.488	110.569	81		12:41:00	15:08:00	02:27:00		0	 R$6,60 	 R$-   		00:00:00	 R$160,00 	 R$-   		 R$660,00 	 R$ 38,00 	 R$ 698,00 	 R$ 698,00 		4335	JUNDIAI/SP - x 200 km EMBU DAS ARTES/SP	CEVA	COMANDO G8	CARACTERIZADA	 R$ 400,00 	4:00:00	110	 R$90,00 	 R$4,00 	À PARTE	CONCLUIDO		02/04/2026	12:41:00	1087	SP	JUNDIAI/SP - x 200 km EMBU DAS ARTES/SP	 TEE3H07	QQG8G60	02/04/2026	15:08:00		110.488	110.569	81		12:41:00	15:08:00	02:27:00		0	 R$4,00 	 R$-   		00:00:00	 R$90,00 	 R$-   		 R$400,00 	 R$ 38,00 	 R$438,00 
4336	JUNDIAI/SP - x 200 km EMBU DAS ARTES/SP	CEVA	COMANDO G8	CARACTERIZADA	 R$660,00 	03:00:00	100	 R$160,00 	 R$6,60 	À PARTE	CONCLUIDO		02/04/2026	14:30:00		JUNDIAI/SP - x 200 km EMBU DAS ARTES/SP	RCV4G41	NTO0F40	02/04/2026	16:16:00		484.557	484.636	79		14:30:00	16:16:00	01:46:00		0	 R$6,60 	 R$-   		00:00:00	 R$160,00 	 R$-   		 R$660,00 	 R$ 38,00 	 R$ 698,00 	 R$ 698,00 		4336	JUNDIAI/SP - x 200 km EMBU DAS ARTES/SP	CEVA	COMANDO G8	CARACTERIZADA	 R$ 400,00 	4:00:00	110	 R$90,00 	 R$4,00 	À PARTE	CONCLUIDO		02/04/2026	14:30:00	1085	SP	JUNDIAI/SP - x 200 km EMBU DAS ARTES/SP	RCV4G41	NTO0F40	02/04/2026	16:16:00		484.557	484.636	79		14:30:00	16:16:00	01:46:00		0	 R$4,00 	 R$-   		00:00:00	 R$90,00 	 R$-   		 R$400,00 	 R$ 38,00 	 R$438,00 
4337	JUNDIAI/SP - x 200 km EMBU DAS ARTES/SP	CEVA	COMANDO G8	CARACTERIZADA	 R$660,00 	03:00:00	100	 R$160,00 	 R$6,60 	À PARTE	CONCLUIDO		02/04/2026	11:59:00		JUNDIAI/SP - x 200 km EMBU DAS ARTES/SP	TXW5H46	EPU9577	02/04/2026	14:16:00		19.894	19.976	82		11:59:00	14:16:00	02:17:00		0	 R$6,60 	 R$-   		00:00:00	 R$160,00 	 R$-   		 R$660,00 	 R$ 38,00 	 R$ 698,00 	 R$ 698,00 		4337	JUNDIAI/SP - x 200 km EMBU DAS ARTES/SP	CEVA	COMANDO G8	CARACTERIZADA	 R$ 400,00 	4:00:00	110	 R$90,00 	 R$4,00 	À PARTE	CONCLUIDO		02/04/2026	11:59:00	1086	SP	JUNDIAI/SP - x 200 km EMBU DAS ARTES/SP	TXW5H46	EPU9577	02/04/2026	14:16:00		19.894	19.976	82		11:59:00	14:16:00	02:17:00		0	 R$4,00 	 R$-   		00:00:00	 R$90,00 	 R$-   		 R$400,00 	 R$ 38,00 	 R$438,00 
4338	URBANO BA	IBL	IMPERIO	CARACTERIZADA	 R$1.057,00 	03:00:00	100	 R$181,33 	 R$7,30 	À PARTE	CONCLUIDO		02/04/2026	08:30:00		URBANO BA	EXI0H76	RCX9J23	02/04/2026	09:33:00		199.437	199.460	23		08:30:00	09:33:00	01:03:00		0	 R$7,30 	 R$-   		00:00:00	 R$181,33 	 R$-   		 R$1.057,00 	 R$ 7,70 	 R$ 1.064,70 	 R$ 1.064,70 		4338	URBANO BA	IBL	IMPERIO	CARACTERIZADA	 R$ 450,00 	3:00:00	100	 R$100,00 	 R$4,50 	À PARTE	CONCLUIDO		02/04/2026	08:30:00		BA	URBANO BA	EXI0H76	RCX9J23	02/04/2026	15:44:00		199.437	199.523	86		08:30:00	15:44:00	07:14:00		0	 R$4,50 	 R$-   		04:14:00	 R$100,00 	 R$423,33 		 R$450,00 	 R$ 15,40 	 R$888,73 
4339	URBANO PALHOÇA	IBL	SIGILO	CARACTERIZADA	 R$1.250,00 	03:00:00	100	 R$181,33 	 R$8,00 	À PARTE	CONCLUIDO		02/04/2026	11:30:00	SUL	URBANO PALHOÇA	FKQ7F51	SXM0G99	02/04/2026	13:59:00		354.941	354.949	8		11:30:00	13:59:00	02:29:00		0	 R$8,00 	 R$-   		00:00:00	 R$181,33 	 R$-   		 R$1.250,00 	 R$ -   	 R$ 1.250,00 	 R$ 1.250,00 		4339	URBANO PALHOÇA	IBL	SIGILO	CARACTERIZADA	 R$ 500,00 	03:00	100	 R$100,00 	 R$5,00 	À PARTE	CONCLUIDO		02/04/2026	11:30:00		SC	URBANO PALHOÇA	FKQ7F51	SXM0G99	02/04/2026	13:59:00		354.941	354.949	8		11:30:00	13:59:00	02:29:00		0	 R$5,00 	 R$-   		00:00:00	 R$100,00 	 R$-   		 R$500,00 	 R$ -   	 R$500,00 
4340	CAMPINAS X CONGONHAS	IBL	WARDON	CARACTERIZADA	 R$730,00 	03:00:00	100	 R$168,51 	 R$7,30 	À PARTE	CONCLUIDO		02/04/2026	09:00:00		CAMPINAS X CONGONHAS	TKN2I22	TKV0G50	02/04/2026	11:37:00		54.872	54.993	121		09:00:00	11:37:00	02:37:00		21	 R$7,30 	 R$153,30 		00:00:00	 R$168,51 	 R$-   		 R$730,00 	 R$ 27,30 	 R$ 910,60 	 R$ 910,60 		4340	CAMPINAS X CONGONHAS	IBL	WARDON	CARACTERIZADA	 R$ 446,00 	3:00:00	100	 R$100,00 	 R$4,46 	À PARTE	CONCLUIDO		02/04/2026	09:00:00		SP	CAMPINAS X CONGONHAS	TKN2I22	TKV0G50	02/04/2026	11:37:00		54.872	54.993	121		09:00:00	11:37:00	02:37:00		21	 R$4,46 	 R$93,66 		00:00:00	 R$100,00 	 R$-   		 R$446,00 	 R$ 27,30 	 R$566,96 
4341	CONTAGEM X BELO HORIZONTE	IBL	CENTURIÃO	CARACTERIZADA	 R$930,00 	03:00:00	100	 R$168,51 	 R$7,30 	À PARTE	CONCLUIDO		02/04/2026	10:00:00		CONTAGEM X BELO HORIZONTE	UAB8F46	HIM0228	02/04/2026	12:44:00		12.768	12.790	22		10:00:00	12:44:00	02:44:00		0	 R$7,30 	 R$-   		00:00:00	 R$168,51 	 R$-   		 R$930,00 	 R$ -   	 R$ 930,00 	 R$ 930,00 		4341	CONTAGEM X BELO HORIZONTE	IBL	CENTURIÃO	CARACTERIZADA	 R$ 500,00 	03:00	100	 R$118,00 	 R$5,00 	À PARTE	CONCLUIDO		02/04/2026	10:00:00		MG	CONTAGEM X BELO HORIZONTE	UAB8F46	HIM0228	02/04/2026	12:44:00		12.768	12.790	22		10:00:00	12:44:00	02:44:00		0	 R$5,00 	 R$-   		00:00:00	 R$118,00 	 R$-   		 R$500,00 	 R$ -   	 R$500,00 
4342	JOINVILLE SC X CURITIBA PR	IBL	SIGILO	CARACTERIZADA	 R$928,00 	03:00:00	100	 R$181,33 	 R$7,30 	À PARTE	CONCLUIDO		02/04/2026	12:15:00		JOINVILLE SC X CURITIBA PR	PYO4B63	SXC8E89	02/04/2026	20:37:00		295.002	295.157	155		12:15:00	20:37:00	08:22:00		55	 R$7,30 	 R$401,50 		05:22:00	 R$181,33 	 R$973,14 		 R$928,00 	 R$ 10,40 	 R$ 2.313,04 	 R$ 2.313,04 		4342	JOINVILLE SC X CURITIBA PR	IBL	SIGILO	CARACTERIZADA	 R$ 500,00 	3:00:00	100	 R$100,00 	 R$5,00 	À PARTE	CONCLUIDO		02/04/2026	12:15:00		SC	JOINVILLE SC X CURITIBA PR	PYO4B63	SXC8E89	02/04/2026	20:37:00		295.002	295.157	155		12:15:00	20:37:00	08:22:00		55	 R$5,00 	 R$275,00 		05:22:00	 R$100,00 	 R$536,67 		 R$500,00 	 R$ 10,40 	 R$1.322,07 
4343	AEROPORTO PE X JABOATÃO	IBL	CENTURIÃO	CARACTERIZADA	 R$1.057,00 	03:00:00	100	 R$181,33 	 R$7,30 	À PARTE	CONCLUIDO		02/04/2026	09:19:00		AEROPORTO PE X JABOATÃO	OPP-0C44	SII8D80	02/04/2026	12:48:00		76.550	76.565	15		09:19:00	12:48:00	03:29:00		0	 R$7,30 	 R$-   		00:29:00	 R$181,33 	 R$87,64 		 R$1.057,00 	 R$ -   	 R$ 1.144,64 	 R$ 1.144,64 		4343	AEROPORTO PE X JABOATÃO	IBL	CENTURIÃO	CARACTERIZADA	 R$ 450,00 	3:00:00	100	 R$100,00 	 R$4,50 	À PARTE	CONCLUIDO		02/04/2026	09:19:00		PE	AEROPORTO PE X JABOATÃO	OPP-0C44	SII8D80	02/04/2026	15:39:00		76.550	76.579	29		09:19:00	15:39:00	06:20:00		0	 R$4,50 	 R$-   		03:20:00	 R$100,00 	 R$333,33 		 R$450,00 	 R$ -   	 R$783,33 
4344	MANAUS X MANAUS	CEVA	KADOSH	CARACTERIZADA	 R$2.398,00 	03:00:00	100	 R$275,00 	 R$11,00 	À PARTE	CONCLUIDO		02/04/2026	14:00:00		MANAUS X MANAUS	RIZ6H77	BWO1G65	02/04/2026	18:55:00		73.929	73.941	12		14:00:00	18:55:00	04:55:00		0	 R$11,00 	 R$-   		01:55:00	 R$275,00 	 R$527,08 		 R$2.398,00 	 R$ -   	 R$ 2.925,08 	 R$ 2.925,08 		4344	MANAUS X MANAUS	CEVA	KADOSH	CARACTERIZADA	 R$ 690,00 	3:00:00	100	 R$170,00 	 R$6,90 	À PARTE	CONCLUIDO		02/04/2026	14:00:00		AM	MANAUS X MANAUS	RIZ6H77	BWO1G65	02/04/2026	18:55:00		73.929	73.941	12		14:00:00	18:55:00	04:55:00		0	 R$6,90 	 R$-   		01:55:00	 R$170,00 	 R$325,83 		 R$690,00 	 R$ -   	 R$1.015,83 
4345	MANAUS X MANAUS	CEVA	KADOSH	CARACTERIZADA	 R$2.398,00 	03:00:00	100	 R$275,00 	 R$11,00 	À PARTE	CONCLUIDO		02/04/2026	14:00:00		MANAUS X MANAUS	TSI7G58	BWO1G65	02/04/2026	18:55:00		10.060	10.075	15		14:00:00	18:55:00	04:55:00		0	 R$11,00 	 R$-   		01:55:00	 R$275,00 	 R$527,08 		 R$2.398,00 	 R$ -   	 R$ 2.925,08 	 R$ 2.925,08 		4345	MANAUS X MANAUS	CEVA	KADOSH	CARACTERIZADA	 R$ 690,00 	3:00:00	100	 R$170,00 	 R$6,90 	À PARTE	CONCLUIDO		02/04/2026	14:00:00		AM	MANAUS X MANAUS	TSI7G58	BWO1G65	02/04/2026	18:55:00		10.060	10.075	15		14:00:00	18:55:00	04:55:00		0	 R$6,90 	 R$-   		01:55:00	 R$170,00 	 R$325,83 		 R$690,00 	 R$ -   	 R$1.015,83 
4346	URBANO BA	IBL	IMPERIO	CARACTERIZADA	 R$1.057,00 	03:00:00	100	 R$181,33 	 R$7,30 	À PARTE	CONCLUIDO		02/04/2026	14:00:00		URBANO BA	EXI0H76	RCX9J23	02/04/2026	15:44:00		199.504	199.523	19		14:00:00	15:44:00	01:44:00		0	 R$7,30 	 R$-   		00:00:00	 R$181,33 	 R$-   		 R$1.057,00 	 R$ 7,70 	 R$ 1.064,70 	 R$ 1.064,70 		4346	URBANO BA	IBL	IMPERIO	CARACTERIZADA	 R$ 450,00 	3:00:00	100	 R$100,00 	 R$4,50 	À PARTE	CONCLUIDO		02/04/2026	14:00:00		BA	URBANO BA	EXI0H76	RCX9J23	02/04/2026	15:44:00		199.504	199.523	19		14:00:00	15:44:00	01:44:00		0	 R$4,50 	 R$-   		00:00:00	 R$100,00 	 R$-   		 R$450,00 	 R$ 7,70 	 R$-   
