detail,error_severity,event_message,hint,id,identifier,timestamp
null,LOG,"connection authenticated: user=""authenticator"" method=trust (/etc/postgresql/pg_hba.conf:8)",null,80388690-0021-49fe-a28b-e79643d146ae,erjhxwbutjyylxdthuuz,1779312583394000
null,LOG,"connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,a201c8fa-eb01-4383-8064-470409f193d3,erjhxwbutjyylxdthuuz,1779312583387000
null,LOG,"connection authenticated: user=""authenticator"" method=trust (/etc/postgresql/pg_hba.conf:8)",null,49e6d052-518c-43c6-b74f-7c8a3f58af1d,erjhxwbutjyylxdthuuz,1779312583381000
"The database was created using collation version 153.120, but the operating system provides version 153.121.",WARNING,"database ""postgres"" has a collation version mismatch","Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.",4aeb12dc-9c0c-417b-8cf3-bdef3bd1a2fd,erjhxwbutjyylxdthuuz,1779312583353000
"The database was created using collation version 153.120, but the operating system provides version 153.121.",WARNING,"database ""postgres"" has a collation version mismatch","Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.",908a1621-fa2e-4695-967d-3d27549a6785,erjhxwbutjyylxdthuuz,1779312583331000
"The database was created using collation version 153.120, but the operating system provides version 153.121.",WARNING,"database ""postgres"" has a collation version mismatch","Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.",cc9a5b50-ab38-4484-8d48-bf59cd80d307,erjhxwbutjyylxdthuuz,1779312583324000
"The database was created using collation version 153.120, but the operating system provides version 153.121.",WARNING,"database ""postgres"" has a collation version mismatch","Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.",b0f0e882-ab38-466e-9f25-533d46c7b599,erjhxwbutjyylxdthuuz,1779312583142000
null,LOG,"connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,f55ab102-7693-49dd-b97f-164e165957bc,erjhxwbutjyylxdthuuz,1779312583130000
null,LOG,"connection authenticated: user=""authenticator"" method=trust (/etc/postgresql/pg_hba.conf:8)",null,11c602a6-2527-42f8-a54c-4ea40b104c94,erjhxwbutjyylxdthuuz,1779312583130000
"The database was created using collation version 153.120, but the operating system provides version 153.121.",WARNING,"database ""postgres"" has a collation version mismatch","Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.",36e414a0-8bbe-4062-b8f6-2fd500e5162a,erjhxwbutjyylxdthuuz,1779312583101000
"The database was created using collation version 153.120, but the operating system provides version 153.121.",WARNING,"database ""postgres"" has a collation version mismatch","Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.",87dc29e3-fe33-4652-a127-a377e46c7d6e,erjhxwbutjyylxdthuuz,1779312583100000
"The database was created using collation version 153.120, but the operating system provides version 153.121.",WARNING,"database ""postgres"" has a collation version mismatch","Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.",a226d3ce-766c-4db6-b3d0-79d3bfc0029c,erjhxwbutjyylxdthuuz,1779312583098000
null,LOG,"connection authenticated: user=""authenticator"" method=trust (/etc/postgresql/pg_hba.conf:8)",null,74982fce-9cf5-44a9-9d86-48fbf44ffd0b,erjhxwbutjyylxdthuuz,1779312583098000
null,LOG,"connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,3f34b199-40e4-4ba9-a0d2-c183e9d1c6d4,erjhxwbutjyylxdthuuz,1779312583098000
null,LOG,"connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,9957012e-6597-46fc-8f50-ddb933f6d83f,erjhxwbutjyylxdthuuz,1779312583098000
null,LOG,"connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,d1ab1a68-98ab-4d3d-9201-cc4a69de3982,erjhxwbutjyylxdthuuz,1779312583097000
null,LOG,"connection authenticated: user=""authenticator"" method=trust (/etc/postgresql/pg_hba.conf:8)",null,13949626-3593-4a1b-97fc-eb839872379f,erjhxwbutjyylxdthuuz,1779312583096000
"The database was created using collation version 153.120, but the operating system provides version 153.121.",WARNING,"database ""postgres"" has a collation version mismatch","Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.",4c26f7ce-f964-421b-89e7-f830d39e299d,erjhxwbutjyylxdthuuz,1779312583094000
null,LOG,"connection authorized: user=authenticator database=postgres application_name=postgrest SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,c490a089-63b8-4979-ba00-df5380cfa199,erjhxwbutjyylxdthuuz,1779312583093000
null,LOG,"connection authenticated: user=""authenticator"" method=trust (/etc/postgresql/pg_hba.conf:8)",null,e2424ca0-2a67-45ba-ad09-e8e469ee2d1a,erjhxwbutjyylxdthuuz,1779312583093000
null,LOG,"connection authenticated: user=""authenticator"" method=trust (/etc/postgresql/pg_hba.conf:8)",null,751f15a1-6bf7-488d-a2c2-8d6d7b090449,erjhxwbutjyylxdthuuz,1779312583093000
"The database was created using collation version 153.120, but the operating system provides version 153.121.",WARNING,"database ""postgres"" has a collation version mismatch","Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.",6dfa6700-817d-43c1-a124-b5ef26f1e40e,erjhxwbutjyylxdthuuz,1779312583086000
"The database was created using collation version 153.120, but the operating system provides version 153.121.",WARNING,"database ""postgres"" has a collation version mismatch","Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.",7efa2c53-ace1-484d-ac66-3c0193c1770a,erjhxwbutjyylxdthuuz,1779312583083000
"The database was created using collation version 153.120, but the operating system provides version 153.121.",WARNING,"database ""postgres"" has a collation version mismatch","Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.",2a5577d8-5c56-4fd9-a26f-7f68fea51016,erjhxwbutjyylxdthuuz,1779312582879000
There are no running transactions.,LOG,logical decoding found consistent point at 75/AE0058A0,null,2dbad983-a8e2-4408-b8d6-57cfba6e9bb6,erjhxwbutjyylxdthuuz,1779312582865000
"The database was created using collation version 153.120, but the operating system provides version 153.121.",WARNING,"database ""postgres"" has a collation version mismatch","Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.",b66c3dda-3930-448b-a764-8a5fe9563648,erjhxwbutjyylxdthuuz,1779312582809000
"The database was created using collation version 153.120, but the operating system provides version 153.121.",WARNING,"database ""postgres"" has a collation version mismatch","Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.",6f07aa6a-4293-4b22-a49a-480bc557f5b1,erjhxwbutjyylxdthuuz,1779312582808000
"The database was created using collation version 153.120, but the operating system provides version 153.121.",WARNING,"database ""postgres"" has a collation version mismatch","Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.",c936bfd4-85bb-4cd5-bcff-e58ab383546e,erjhxwbutjyylxdthuuz,1779312582807000
"The database was created using collation version 153.120, but the operating system provides version 153.121.",WARNING,"database ""postgres"" has a collation version mismatch","Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.",4e940035-5feb-4fe7-8ab8-a2f73c1378d2,erjhxwbutjyylxdthuuz,1779312582807000
"The database was created using collation version 153.120, but the operating system provides version 153.121.",WARNING,"database ""postgres"" has a collation version mismatch","Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.",3587455f-051b-4ca1-ad50-cdeb10d29778,erjhxwbutjyylxdthuuz,1779312582769000
Waiting for transactions (approximately 1) older than 955756 to end.,LOG,logical decoding found initial starting point at 75/AE001DF8,null,ab72d107-1c9d-484a-879c-9fddd15543bc,erjhxwbutjyylxdthuuz,1779312582639000
"The database was created using collation version 153.120, but the operating system provides version 153.121.",WARNING,"database ""postgres"" has a collation version mismatch","Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.",9d0a2ece-6528-4921-8b09-adabe789b727,erjhxwbutjyylxdthuuz,1779312582202000
"The database was created using collation version 153.120, but the operating system provides version 153.121.",WARNING,"database ""postgres"" has a collation version mismatch","Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.",78e7dac0-ee3b-4c94-9315-56e477833d65,erjhxwbutjyylxdthuuz,1779312582201000
"The database was created using collation version 153.120, but the operating system provides version 153.121.",WARNING,"database ""postgres"" has a collation version mismatch","Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.",63b0879b-12a6-47ba-93fc-a884e490dcb0,erjhxwbutjyylxdthuuz,1779312582201000
"The database was created using collation version 153.120, but the operating system provides version 153.121.",WARNING,"database ""postgres"" has a collation version mismatch","Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.",4afee8c2-9981-42b7-a96b-fd25891bcf8f,erjhxwbutjyylxdthuuz,1779312582200000
"The database was created using collation version 153.120, but the operating system provides version 153.121.",WARNING,"database ""postgres"" has a collation version mismatch","Rebuild all objects in this database that use the default collation and run ALTER DATABASE postgres REFRESH COLLATION VERSION, or build PostgreSQL with the right library version.",9bfc37be-a6f4-4805-bc8d-8f095cad9535,erjhxwbutjyylxdthuuz,1779312582200000
